Timestamp,Alpha,Beta,Gamma,Delta,Theta
7,287.07,1492.6,469.84,218.65,638.84
12.29,289.26,1186.6,436.88,150.81,528.67
12.913,293.95,1191.4,455.82,152.99,519.42
13.214,293.95,1191.4,455.82,152.99,519.42
13.538,293.95,1191.4,455.82,152.99,519.42
14.061,293.95,1191.4,455.82,152.99,519.42
14.237,293.95,1191.4,455.82,152.99,519.42
14.389,293.95,1191.4,455.82,152.99,519.42
14.555,293.95,1191.4,455.82,152.99,519.42
14.71,293.95,1191.4,455.82,152.99,519.42
14.861,293.95,1191.4,455.82,152.99,519.42
15.025,293.95,1191.4,455.82,152.99,519.42
15.216,293.95,1191.4,455.82,152.99,519.42
15.39,293.95,1191.4,455.82,152.99,519.42
15.591,293.95,1191.4,455.82,152.99,519.42
15.8,293.95,1191.4,455.82,152.99,519.42
15.969,293.95,1191.4,455.82,152.99,519.42
16.117,293.95,1191.4,455.82,152.99,519.42
16.269,293.95,1191.4,455.82,152.99,519.42
16.443,296.24,1198.9,460.93,154.93,516.33
16.738,300.64,1212.8,470.54,162.72,508.95
17.071,313.39,1269,493.81,190.5,485.29
17.273,320.91,1311,508.49,187.88,468.46
17.464,326.74,1351,522.6,198.27,455.09
17.647,332.63,1394.4,540.6,204.46,442.14
17.801,337.58,1430.4,558.1,216.14,433.16
17.95,343.55,1471.1,578.4,227.06,425.77
18.123,351.92,1530.5,613.3,240.55,418.44
18.285,360.07,1580.1,645.75,252.87,414.81
18.472,372.9,1656.6,698.12,274.52,415.06
18.625,388.39,1743.3,762.61,305.36,418.92
18.775,402.06,1818,820.02,320.66,425.05
18.935,418.06,1900.4,885.39,335.38,433.31
19.11,441.77,2021.5,983.66,368.76,448.1
19.264,461.54,2124.3,1066.3,381.61,461.51
19.42,489.9,2273,1184.8,407.18,481.31
19.559,505.1,2351.4,1246.7,410.97,491.59
19.695,528.39,2475.4,1344.1,421.9,508.75
19.845,559.05,2648.8,1477.8,433.14,532.85
19.988,582.97,2782.3,1578.8,431.94,552.95
20.135,604.56,2917.6,1679.1,432.92,572.98
20.273,624.62,3051.9,1776.9,429.76,594.57
20.414,642.62,3185.6,1871.5,424.31,616.95
20.555,658.89,3312.8,1961.5,422.54,641.69
20.71,672.97,3434.8,2046.6,412.47,668.7
20.872,688,3587.9,2150.9,397.62,706.04
21.025,695.94,3694.6,2222.4,383.36,736.27
21.17,703.29,3793.6,2287.7,372.37,768.06
21.4,709.11,3945.4,2384.7,359.71,822.6
21.7,712.35,4107.6,2481.6,351.75,887.99
22,713.99,4283.6,2573.3,337.6,956.04
22.3,716.43,4434.2,2634.2,335.38,1004.7
22.6,722.3,4579.3,2678,338.29,1041.7
22.9,734.41,4738.9,2706.6,347.92,1069.1
23.2,749.33,4856.8,2711.8,347.41,1082.5
23.5,767.73,4950.9,2688.5,351.66,1094.4
23.8,785.33,4988.1,2645.4,356.38,1106.4
24.1,800.89,4978.9,2585.1,358.77,1124.8
24.4,810.88,4926.3,2519.4,359.3,1153.2
24.7,813.5,4817.9,2443.1,360.4,1198.9
25,804.34,4676.2,2386.6,359.67,1249.9
25.3,784.77,4548.6,2364,359.38,1293.6
25.6,757.02,4425.3,2366.1,329.81,1332.3
25.9,716.6,4302,2398.8,328.42,1363.3
26.2,679.46,4213.7,2441.8,319.17,1378.3
26.5,643.22,4138.1,2485.7,306.08,1385.7
26.8,613.68,4067.4,2523.8,309.01,1383.4
27.1,608.67,4007.1,2532.4,330.16,1379
27.4,634.68,3925.4,2501.6,374.12,1375.9
27.7,692.73,3852.6,2435.1,409.39,1380.8
28,799.06,3763.7,2310.9,475.65,1398.6
28.3,897.56,3697.8,2192.6,516.38,1418.7
28.6,1052.5,3608,1999.4,545.11,1460.6
28.9,1208.4,3530.8,1785.3,568.6,1514.8
29.2,1320.9,3480,1606,564.49,1566.5
29.5,1407.9,3451.1,1417.7,545.47,1622.1
29.8,1430.2,3462.5,1288.6,519.18,1659.5
30.1,1400.8,3513.3,1195.5,480.64,1682.8
30.4,1304.5,3623.2,1137.2,440.54,1685.1
30.7,1180,3758.9,1125.7,402.17,1666.9
31,1031.8,3924.1,1148.1,365.95,1633.3
31.3,852.68,4130.5,1200.6,334.41,1589.3
31.6,710.23,4295.8,1263.1,312.61,1556.7
31.9,574.21,4449.5,1346,284.29,1539
32.2,489.17,4529.6,1420.9,276.6,1545.7
32.5,433.37,4559.4,1500.5,262.33,1573.8
32.8,400.03,4531.6,1595.2,265.3,1620.2
33.1,392.06,4458.6,1677.5,263.15,1665.7
33.4,399.16,4346.4,1773.6,268.45,1703.2
33.7,417.32,4241.4,1853.5,279.08,1720
34,435.88,4141,1925.6,308.34,1707.3
34.3,466.31,4045.2,2002.7,340.27,1663.6
34.6,498.4,3985.7,2059.8,386.98,1603.7
34.9,549.09,3932.8,2118.5,422.07,1518.1
35.2,603.04,3886.5,2158.2,426.75,1438.5
35.5,664.82,3836.6,2187,434.35,1358.9
35.8,742.38,3751.1,2198.6,471.72,1267
36.1,809.31,3651.1,2183.9,492,1193.2
36.4,861.54,3526.5,2140,534.31,1118.1
36.7,907.89,3349.5,2044.6,662.65,1033.7
37,933.64,3148.8,1897.5,862.28,970.2
37.3,942.81,2968.7,1735.5,932.35,936.38
37.6,949.05,2795,1552.9,832.21,941.78
37.9,967.74,2610,1329.2,884.8,1008.7
38.2,1003.2,2477.6,1149.7,1044,1124.2
38.5,1061.6,2374.5,995.11,1375.1,1287.6
38.8,1155.8,2299,856.81,1938.1,1523.3
39.1,1249,2263.1,780.22,2617.7,1741.9
39.4,1355.3,2251.3,732.2,3345.8,1993.1
39.7,1430.2,2249.7,715.5,3784.3,2182.7
40,1477.4,2247.2,709.03,4053,2337.4
40.3,1492,2234.1,705.7,4162,2450.7
40.6,1463.5,2199.3,697.4,3956.7,2532.3
40.9,1424.8,2145.3,682.16,3625.5,2603.3
41.2,1375.2,2085.9,665.41,3292.1,2649.8
41.5,1371.9,2043.5,659.34,3177.4,2749.3
41.8,1458.7,2046.5,668.51,3412.5,3003.6
42.1,1659.6,2141.4,701.86,4263.4,3445
42.4,2085.9,2396.4,780.6,6287.5,4335.7
42.7,2623.3,2754.3,882.52,8867.6,5490.9
43,3433.8,3304.8,1031.8,12595,7280.5
43.3,4229.9,3851.9,1175.6,15874,9082
43.6,5047.1,4398.5,1313.5,18914,10963
43.9,5795.1,4888,1434.9,21086,12691
44.2,6469.5,5286.7,1533.9,22836,14201
44.5,6857.2,5445.3,1573.7,22897,14904
44.8,6903.3,5357.9,1558.7,21598,14737
45.1,6710.9,5087.9,1504.3,19390,13872
45.4,6312.1,4666.2,1417.9,16430,12408
45.7,5697,4075.6,1294.3,12681,10211
46,5015.1,3455.6,1164.9,8949,7862.9
46.3,4453.4,2971.4,1062.6,6206.2,5969.9
46.801,3648.7,2296.6,923.31,2637.4,3382.7
47.327,3161.5,1939.8,856.21,1349.3,2099.3
47.911,2835.2,1822.7,845.2,713.18,1663.5
48.136,2724.9,1819.4,854.43,691.85,1616.6
48.277,2653,1832.4,861.05,573.62,1586.4
48.415,2594.9,1848.5,871.88,590.09,1565.4
48.547,2521.7,1866.6,882.89,539.37,1536.7
48.7,2464.2,1889.8,893.64,526.94,1508.3
49,2364.5,1948.1,926.42,516.96,1415.5
49.3,2319,2002.2,958.32,519.31,1307.9
49.6,2317,2047.4,992.3,531.71,1193.4
49.9,2378.4,2092.9,1035.9,501.48,1063.2
50.2,2475.7,2119.6,1076.4,519.11,974.14
50.5,2616.7,2141.4,1125.8,532.87,907.04
50.8,2740.5,2153.1,1169.9,545.15,886.58
51.1,2855.9,2166.1,1210.7,547.36,892.26
51.4,2967.4,2183.2,1250.3,525.35,918.46
51.7,3044.6,2197.4,1273.8,487.75,945.9
52,3118.6,2208.9,1283.4,440.72,970.68
52.3,3178.2,2210.7,1277.3,403.84,975.78
52.6,3246.3,2202.5,1259.5,363.78,962.59
52.9,3356.6,2175.1,1227.7,320.3,925.55
53.2,3474.6,2143.4,1197.3,289.55,878.19
53.5,3637.7,2096.9,1161,266.98,816.13
53.8,3783.2,2054.9,1136.4,252.63,764.49
54.1,3917.3,2015.4,1119.2,246.21,724.31
54.4,4041.1,1980.7,1111.3,236.39,695.55
54.7,4106,1957,1116.1,232.02,688.02
55,4135.8,1942.2,1128,229.05,694.85
55.3,4132.3,1934.5,1145.7,224.68,712.13
55.6,4107.3,1930.9,1162.4,217.67,728
55.9,4068.4,1929.1,1175.8,212.58,747.96
56.2,4037.4,1926.3,1185.4,211.7,757.89
56.5,4009.9,1922,1192.1,210.63,765.27
56.8,3993.2,1919.1,1194.4,215.01,770.4
57.1,3974.8,1924.3,1200,218.44,781.2
57.4,3941.2,1945.6,1214.7,224.57,809.83
57.7,3893.8,1975.9,1236.4,230.65,851.44
58,3808.3,2026.2,1276.7,231.13,921.69
58.3,3712.6,2075.5,1319.8,222.43,1000.4
58.6,3595.9,2126.1,1369.6,222.1,1090
58.9,3454.6,2174.3,1423.1,212.69,1196.6
59.2,3339.5,2201,1461.7,210.55,1280.3
59.5,3234.3,2209.2,1490.5,214.88,1358.4
59.8,3179,2196.3,1500.3,216.73,1405.2
60.1,3162.7,2165.9,1492.9,223.01,1433.9
60.4,3178.5,2131.1,1476.7,218.09,1448.8
60.7,3222.4,2087.2,1454.4,208.11,1456.2
61,3286.1,2058.9,1438,199.37,1462
61.3,3336,2043.7,1429.6,186.1,1471.1
61.6,3380.2,2042.9,1429.7,170.16,1483.9
61.9,3411.6,2058.9,1441,154.32,1503
62.2,3422.8,2082,1456,140.8,1520.4
62.5,3429.7,2117.5,1473,127.02,1530.9
62.8,3432.4,2144,1483.3,150.72,1527.2
63.1,3437.2,2173.7,1487.3,186.93,1509.8
63.4,3443.8,2207.2,1477.4,230.07,1466.7
63.7,3440.5,2238.7,1458,283.51,1410.3
64,3420.3,2280.2,1417.4,345.81,1320.4
64.3,3379.1,2319.8,1372,397.81,1224.8
64.6,3305,2358,1314.4,478.9,1115
64.9,3169.2,2399.3,1238.1,651.33,973.28
65.2,3016.5,2426,1164.3,812.01,847.25
65.5,2801.3,2439.9,1073.9,984.36,700.79
65.8,2597.7,2432.5,997.67,1072.5,581.98
66.1,2389.1,2407.1,922.55,1072.4,475.25
66.4,2159.5,2359.4,843.49,1001,372.05
66.7,1981.3,2301.8,785.16,868.99,300.86
67,1807.2,2227.2,730.73,715.7,241.91
67.3,1684.6,2163.4,694.17,556.11,210.02
67.6,1590.4,2105.2,666.04,459.63,190.03
67.9,1518.9,2058.4,644.68,400.71,178.22
68.208,1458,2018,627.2,362.52,172.34
68.512,1418.8,1997.5,616.36,316.63,170.68
68.808,1394.4,1993,611.78,284.35,169.22
69.111,1381.4,1997,610.46,237.9,169.61
69.476,1374.1,2015.2,618.58,198.15,172.62
69.844,1374.5,2040.3,635.38,332.85,205.39
70.191,1370.2,2065.9,662.67,505.55,260.99
70.455,1367.1,2091.8,694.07,855.62,357.47
70.76,1355.1,2135.4,735.11,1514.7,538.34
70.997,1342.4,2193.9,778.58,2524.7,810.75
71.302,1337,2275,824.29,3922.9,1183.9
71.59,1347.5,2380.2,869.92,5623.1,1656.2
71.929,1396.5,2553,924.5,8304.7,2378.5
72.223,1468.8,2701.9,959.33,10279,2925.6
72.587,1619.6,2903.3,994.9,12408,3569
72.886,1761.6,3043.4,1012.8,13424,3899.9
73.185,1917.4,3157.1,1021.8,13770,4066.4
73.479,2094.4,3244.3,1020.3,13321,4029.5
73.779,2219.9,3268.9,1009.3,12303,3820.7
74.143,2324.8,3223.1,980.51,10297,3342.5
74.465,2348.4,3114.6,943.42,8294.5,2825
74.755,2310.8,2976.6,905.19,6580.5,2370.3
75.066,2230.4,2806.2,861.05,5054.9,1949.9
75.322,2128.2,2621.4,817,3838.7,1590.2
75.588,2013,2436.8,773.7,2900.3,1297.2
75.837,1916.5,2286.6,741.3,2299,1104.5
76.095,1831,2150,714.23,1872.2,944.48
76.3,1761.5,2032.7,693.12,1566.2,821.56
76.6,1688.8,1903.7,672.54,1324,682.93
76.9,1633.8,1814,661.79,1072,586.59
77.2,1580.3,1739.6,655.17,960.9,513.94
77.5,1528.3,1693.2,655.39,953.77,480.81
77.818,1488.6,1675.4,662.34,1034.3,509.87
78.1,1446.4,1671.2,671.97,1209.8,587.91
78.4,1404.2,1682,687.43,1459.4,714.05
78.7,1365.6,1708.4,714.49,1766.1,909.74
79,1347.1,1748,751.86,2127.7,1132.5
79.3,1350.2,1790.5,790.39,2382.5,1328.6
79.6,1373.2,1832.8,831.77,2605.7,1501.5
79.9,1421.9,1875.3,881.17,2770.4,1656.8
80.2,1476,1898.3,919.78,2817.3,1727.6
80.5,1533.1,1902.4,948.08,2823.2,1742
80.8,1589.7,1878.1,967.89,2705.6,1688.5
81.1,1623.2,1830.8,971.55,2581.5,1601.9
81.4,1641.3,1753.2,960.06,2421.2,1468.7
81.7,1640.1,1678.2,941.52,2280.4,1353.3
82,1624.4,1601.6,918.24,2169.8,1243.5
82.3,1594.3,1525.5,892.76,2063.7,1138.7
82.6,1564.4,1480.7,877.96,2011.3,1072.8
82.9,1528.1,1459.4,870.63,1947.2,1000.8
83.2,1498.7,1461.9,873.35,1910.9,946.04
83.5,1468.6,1492.7,885.38,1800.7,874.88
83.8,1449.5,1535.3,901.09,1714,811.65
84.1,1435.1,1585.4,914.66,1629.1,732.42
84.4,1428.2,1638.4,929.59,1535.2,654.6
